"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "YAML", "JSON", "TypeScript", "HTML", "Docker", "Gradle", "Java Properties", "Swift", "MS SQL", "Batch", "TypeScript JSX", "Properties", "XML", "Java", "PostCSS", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\.github\workflows\keep-awake.yml", "YAML", 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -15
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\IMAGE_ACCESS_CONTROL.md", "Markdown", 0, 0, -78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, -103
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\MIGRATION_SUMMARY.md", "Markdown", 0, 0, -84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -24, -108
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\README.md", "Markdown", 0, 0, -119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -39, -158
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\STORAGE_SETUP.md", "Markdown", 0, 0, -76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, -94
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -13, -34
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\README.md", "Markdown", 0, 0, -41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -51
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\model-train-james-download\new6_mobilenetv3small_8fold_processed_roi_cnn_only.ipynb", "JSON", 0, 0, 0, 0, -3202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -3203
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\package.json", "JSON", 0, 0, 0, 0, -35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -36
"c:\Users\Adriaan M. Dimate\Desktop\botchabuster\backend\src\config\cors.ts", "TypeScript", 0, 0, 0, 0, 0, -43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, -56
